Country,Total_Plastic_Waste_MT,Main_Sources,Recycling_Rate,Per_Capita_Waste_KG,Plastic_Waste_Level,Population_Millions,GDP_Billion_USD,Urbanization_Rate,Plastic_Export_MT,Plastic_Import_MT,Government_Policy_Score,Awareness_Index,Industrialization_Level,Waste_to_Recycle_Ratio,High_Risk_Flag,Developed_Country_Flag
Germany,57.68,Packaging_Electronics,7.16,47.17,Low,523.73,18655.7,74.69,14.42,16.58,3,0.27,0.55,8.55,0,1
Spain,64.76,Packaging_Consumer,62.27,74.17,Low,1219.71,10834.16,26.36,11.64,5.37,3,0.67,0.89,5.17,0,1
South Africa,1.97,Packaging_Electronics,50.55,56.33,High,563.1,8173.59,93.84,2.17,4.37,4,0.74,0.78,12.86,1,0
Spain,68.09,Consumer_Goods,49.14,30.23,High,571.92,12627.84,70.13,3.01,1.85,4,0.4,0.07,3.82,1,1
South Korea,61.77,Industrial_Packaging,80.35,38.73,Low,818.59,16400.08,22.08,1.94,11.28,2,0.58,0.83,5.88,0,1
France,27.67,Industrial_Packaging,23.45,22.55,Medium,1232.95,13861.64,63.74,14.29,15.11,2,0.32,0.77,12.79,0,1
Indonesia,51.99,Automotive_Packaging,8.78,124.81,Low,662.57,14120.1,74.42,7.93,4.0,7,0.89,0.83,7.73,0,0
Spain,40.72,Industrial_Packaging,56.07,31.87,High,308.27,18472.85,43.8,7.85,16.98,9,0.61,0.16,6.54,1,1
UK,51.55,Packaging_Electronics,52.95,128.34,Medium,1394.07,3424.77,29.44,1.21,16.51,4,0.89,0.52,7.17,0,1
South Korea,7.6,Consumer_Goods,79.96,102.54,Low,435.24,19385.66,91.7,7.31,12.49,9,0.66,0.06,10.12,0,1
Spain,67.99,Packaging_Consumer,23.41,70.89,Medium,474.66,1291.57,75.69,2.15,14.54,7,0.72,0.44,0.61,0,1
Russia,63.12,Consumer_Goods,77.77,26.29,High,1260.95,20021.23,76.89,14.56,3.55,1,0.95,0.86,1.06,1,0
Canada,67.85,Packaging_Consumer,48.73,26.95,Low,1193.59,15104.09,53.41,4.65,19.18,5,0.65,0.43,13.48,0,1
India,11.1,Automotive_Packaging,68.89,55.01,Medium,594.77,16312.38,63.19,1.14,3.66,6,0.45,0.4,12.59,0,0
Mexico,37.4,Automotive_Packaging,73.88,129.4,Low,619.43,1830.36,29.83,11.74,0.86,4,0.69,0.84,3.2,0,0
United States,34.09,Industrial_Packaging,45.11,71.62,Medium,1225.53,6277.47,47.4,0.65,5.27,7,0.89,0.56,8.72,0,1
